Rang,Abs. Frekv.,Promille,Kumulert,Ord
1,477481,32.72,32.72,i
2,383526,26.29,59.01,og
3,303647,20.81,79.82,det
4,267350,18.32,98.14,er
5,233605,16.01,114.15,av
6,230169,15.77,129.93,som
7,227641,15.6,145.53,til
8,223662,15.33,160.86,på
9,216506,14.84,175.7,en
10,215106,14.74,190.44,for
11,204371,14.01,204.45,at
12,203736,13.96,218.41,å
13,164569,11.28,229.69,med
14,154213,10.57,240.26,har
15,140734,9.65,249.9,de
16,129382,8.87,258.77,ikke
17,119572,8.19,266.96,den
18,105596,7.24,274.2,om
19,100141,6.86,281.06,han
20,95257,6.53,287.59,et
21,81859,5.61,293.2,var
22,74536,5.11,298.31,fra
23,73301,5.02,303.33,men
24,65772,4.51,307.84,seg
25,65681,4.5,312.34,kan
26,61596,4.22,316.57,vi
27,60172,4.12,320.69,vil
28,57303,3.93,324.62,jeg
29,49938,3.42,328.04,ble
30,46346,3.18,331.22,skal
31,46189,3.17,334.38,så
32,43247,2.96,337.35,etter
33,42598,2.92,340.26,dette
34,41526,2.85,343.11,også
35,39350,2.7,345.81,ved
36,36590,2.51,348.32,sier
37,35807,2.45,350.77,hadde
38,34246,2.35,353.12,da
39,33557,2.3,355.42,eller
40,33168,2.27,357.69,være
41,32340,2.22,359.91,hun
42,31982,2.19,362.1,år
43,31652,2.17,364.27,blir
44,31628,2.17,366.43,ut
45,29740,2.04,368.47,nå
46,29319,2.01,370.48,over
47,28596,1.96,372.44,andre
48,28207,1.93,374.38,må
49,26996,1.85,376.23,mot
50,26279,1.8,378.03,bare
51,26251,1.8,379.83,alle
52,25265,1.73,381.56,du
53,24866,1.7,383.26,når
54,24619,1.69,384.95,få
55,24548,1.68,386.63,enn
56,24298,1.67,388.3,ha
57,23820,1.63,389.93,denne
58,23812,1.63,391.56,opp
59,23665,1.62,393.18,to
60,23332,1.6,394.78,bli
61,22795,1.56,396.34,noe
62,22142,1.52,397.86,sin
63,21748,1.49,399.35,inn
64,21699,1.49,400.84,man
65,21356,1.46,402.3,mer
66,21051,1.44,403.75,selv
67,20827,1.43,405.17,går
68,20653,1.42,406.59,vært
69,20578,1.41,408,gs
70,20566,1.41,409.41,noen
71,19935,1.37,410.77,1
72,18977,1.3,412.08,kunne
73,18825,1.29,413.37,før
74,18482,1.27,414.63,mange
75,18015,1.23,415.87,slik
76,17976,1.23,417.1,2
77,17957,1.23,418.33,nye
78,17915,1.23,419.56,der
79,17522,1.2,420.76,kroner
80,17319,1.19,421.94,mellom
81,16798,1.15,423.1,under
82,16564,1.14,424.23,får
83,16347,1.12,425.35,flere
84,16292,1.12,426.47,sa
85,15727,1.08,427.55,første
86,15103,1.04,428.58,norge
87,14877,1.02,429.6,hvor
88,14815,1.02,430.62,dag
89,14790,1.01,431.63,dem
90,14740,1.01,432.64,både
91,14476,0.99,433.63,her
92,14364,0.98,434.62,h3
93,14168,0.97,435.59,hva
94,14107,0.97,436.55,ingen
95,14015,0.96,437.52,3
96,13704,0.94,438.45,ville
97,13621,0.93,439.39,prosent
98,13617,0.93,440.32,ham
99,13532,0.93,441.25,kommer
100,13435,0.92,442.17,store
101,13380,0.92,443.09,skulle
102,13333,0.91,444,siden
103,13167,0.9,444.9,fikk
104,13100,0.9,445.8,annet
105,13081,0.9,446.7,sine
106,13080,0.9,447.59,mener
107,12883,0.88,448.48,norske
108,12721,0.87,449.35,0
109,12713,0.87,450.22,hele
110,12673,0.87,451.09,alt
111,12573,0.86,451.95,kom
112,12275,0.84,452.79,disse
113,12207,0.84,453.63,hans
114,12156,0.83,454.46,4
115,12080,0.83,455.29,uten
116,11967,0.82,456.11,blitt
117,11918,0.82,456.93,blant
118,11773,0.81,457.73,ta
119,11738,0.8,458.54,5
120,11700,0.8,459.34,h1
121,11525,0.79,460.13,tre
122,11468,0.79,460.91,p
123,11429,0.78,461.7,samme
124,11421,0.78,462.48,oss
125,11370,0.78,463.26,mye
126,11217,0.77,464.03,oslo
127,11126,0.76,464.79,meg
128,11096,0.76,465.55,helt
129,10861,0.74,466.3,siste
130,10829,0.74,467.04,gang
131,10723,0.73,467.77,tidligere
132,10637,0.73,468.5,sammen
133,10609,0.73,469.23,tid
134,10419,0.71,469.94,hvis
135,10236,0.7,470.64,0
136,10193,0.7,471.34,nok
137,10183,0.7,472.04,millioner
138,10119,0.69,472.73,derfor
139,10098,0.69,473.43,sitt
140,10094,0.69,474.12,igjen
141,10078,0.69,474.81,gå
142,10042,0.69,475.5,h5
143,10030,0.69,476.18,norsk
144,9929,0.68,476.87,bør
145,9798,0.67,477.54,gjennom
146,9783,0.67,478.21,gikk
147,9745,0.67,478.88,ny
148,9683,0.66,479.54,mens
149,9567,0.66,480.19,godt
150,9446,0.65,480.84,fått
151,9323,0.64,481.48,gjøre
152,9315,0.64,482.12,se
153,9083,0.62,482.74,stor
154,8958,0.61,483.36,gir
155,8920,0.61,483.97,fordi
156,8736,0.6,484.57,6
157,8722,0.6,485.16,h4
158,8720,0.6,485.76,ser
159,8708,0.6,486.36,gjør
160,8547,0.59,486.94,rundt
161,8480,0.58,487.52,gi
162,8477,0.58,488.11,ned
163,8245,0.57,488.67,grunn
164,8212,0.56,489.23,gjelder
165,8057,0.55,489.79,langt
166,8048,0.55,490.34,del
167,7945,0.54,490.88,7
168,7844,0.54,491.42,a
169,7806,0.53,491.95,måtte
170,7802,0.53,492.49,står
171,7776,0.53,493.02,forhold
172,7756,0.53,493.55,annen
173,7716,0.53,494.08,folk
174,7706,0.53,494.61,tilbake
175,7668,0.53,495.14,si
176,7598,0.52,495.66,komme
177,7554,0.52,496.17,henne
178,7528,0.52,496.69,like
179,7459,0.51,497.2,tatt
180,7450,0.51,497.71,bedre
181,7442,0.51,498.22,imidlertid
182,7423,0.51,498.73,aldri
183,7334,0.5,499.23,mest
184,7324,0.5,499.74,først
185,7270,0.5,500.23,tar
186,7254,0.5,500.73,allerede
187,7240,0.5,501.23,8
188,7204,0.49,501.72,rett
189,7187,0.49,502.21,10
190,7171,0.49,502.71,litt
191,7167,0.49,503.2,bergen
192,7136,0.49,503.69,større
193,7115,0.49,504.17,saken
194,6981,0.48,504.65,hvordan
195,6907,0.47,505.12,politiet
196,6842,0.47,505.59,mulig
197,6786,0.47,506.06,hos
198,6783,0.46,506.52,sett
199,6766,0.46,506.99,kanskje
200,6703,0.46,507.45,dersom
201,6690,0.46,507.91,viser
202,6561,0.45,508.36,ligger
203,6553,0.45,508.8,heller
204,6550,0.45,509.25,vel
205,6534,0.45,509.7,satt
206,6527,0.45,510.15,jo
207,6487,0.44,510.59,frem
208,6459,0.44,511.04,gjort
209,6393,0.44,511.47,fire
210,6389,0.44,511.91,videre
211,6368,0.44,512.35,mindre
212,6285,0.43,512.78,vet
213,6270,0.43,513.21,samtidig
214,6268,0.43,513.64,9
215,6166,0.42,514.06,ønsker
216,6125,0.42,514.48,land
217,6077,0.42,514.9,20
218,6075,0.42,515.31,god
219,6065,0.42,515.73,barn
220,6050,0.41,516.14,s
221,6045,0.41,516.56,likevel
222,5995,0.41,516.97,bruk
223,5994,0.41,517.38,gamle
224,5993,0.41,517.79,tror
225,5991,0.41,518.2,tok
226,5963,0.41,518.61,tillegg
227,5931,0.41,519.02,la
228,5899,0.4,519.42,fram
229,5875,0.4,519.82,neste
230,5745,0.39,520.22,hatt
231,5627,0.39,520.6,ifølge
232,5623,0.39,520.99,hver
233,5605,0.38,521.37,fortsatt
234,5589,0.38,521.75,svært
235,5585,0.38,522.14,egen
236,5581,0.38,522.52,enkelte
237,5523,0.38,522.9,vår
238,5460,0.37,523.27,deg
239,5458,0.37,523.65,klart
240,5420,0.37,524.02,leder
241,5409,0.37,524.39,viktig
242,5404,0.37,524.76,dermed
243,5324,0.36,525.12,slike
244,5304,0.36,525.49,rekke
245,5248,0.36,525.85,innen
246,5244,0.36,526.21,lite
247,5233,0.36,526.57,bak
248,5216,0.36,526.92,side
249,5210,0.36,527.28,selskapet
250,5197,0.36,527.64,særlig
251,5147,0.35,527.99,nytt
252,5067,0.35,528.34,meget
253,5035,0.35,528.68,landet
254,5021,0.34,529.03,beste
255,5012,0.34,529.37,12
256,5008,0.34,529.71,regjeringen
257,5008,0.34,530.06,tiden
258,4976,0.34,530.4,gitt
259,4913,0.34,530.73,deres
260,4894,0.34,531.07,gjorde
261,4886,0.33,531.4,fleste
262,4872,0.33,531.74,lenge
263,4850,0.33,532.07,måte
264,4835,0.33,532.4,ja
265,4832,0.33,532.73,fem
266,4823,0.33,533.06,mennesker
267,4785,0.33,533.39,15
268,4779,0.33,533.72,hvert
269,4772,0.33,534.05,nei
270,4731,0.32,534.37,kveld
271,4712,0.32,534.69,ett
272,4703,0.32,535.01,30
273,4669,0.32,535.33,usa
274,4659,0.32,535.65,løpet
275,4657,0.32,535.97,min
276,4612,0.32,536.29,bruke
277,4596,0.31,536.6,kommet
278,4586,0.31,536.92,verden
279,4564,0.31,537.23,stort
280,4556,0.31,537.54,finne
281,4555,0.31,537.86,største
282,4496,0.31,538.16,nesten
283,4462,0.31,538.47,begge
284,4445,0.3,538.77,synes
285,4431,0.3,539.08,100
286,4402,0.3,539.38,minst
287,4401,0.3,539.68,senere
288,4394,0.3,539.98,spørsmål
289,4367,0.3,540.28,h2
290,4364,0.3,540.58,gode
291,4362,0.3,540.88,stortinget
292,4336,0.3,541.18,eneste
293,4299,0.29,541.47,11
294,4273,0.29,541.76,hennes
295,4271,0.29,542.06,finnes
296,4270,0.29,542.35,windows
297,4264,0.29,542.64,fjor
298,4253,0.29,542.93,dessuten
299,4227,0.29,543.22,politiske
300,4192,0.29,543.51,sig
301,4188,0.29,543.8,krav
302,4180,0.29,544.08,arbeidet
303,4170,0.29,544.37,gått
304,4149,0.28,544.65,utenfor
305,4140,0.28,544.94,all
306,4140,0.28,545.22,ofte
307,4139,0.28,545.51,vanskelig
308,4133,0.28,545.79,ledd
309,4116,0.28,546.07,fredag
310,4113,0.28,546.35,alltid
311,4102,0.28,546.63,per
312,4098,0.28,546.91,eksempel
313,4098,0.28,547.2,lagt
314,4086,0.28,547.48,informasjon
315,4082,0.28,547.76,amerikanske
316,4070,0.28,548.03,norges
317,4060,0.28,548.31,ulike
318,4059,0.28,548.59,mann
319,4052,0.28,548.87,bra
320,4046,0.28,549.15,penger
321,4000,0.27,549.42,liten
322,3999,0.27,549.69,overfor
323,3986,0.27,549.97,liv
324,3985,0.27,550.24,utvalget
325,3981,0.27,550.51,lenger
326,3979,0.27,550.79,forteller
327,3963,0.27,551.06,m
328,3957,0.27,551.33,grad
329,3956,0.27,551.6,møte
330,3938,0.27,551.87,dagens
331,3906,0.27,552.14,våre
332,3904,0.27,552.4,følge
333,3902,0.27,552.67,the
334,3866,0.26,552.94,ansatte
335,3861,0.26,553.2,arbeid
336,3853,0.26,553.47,ti
337,3852,0.26,553.73,stadig
338,3850,0.26,553.99,plass
339,3840,0.26,554.26,50
340,3815,0.26,554.52,ho
341,3805,0.26,554.78,dager
342,3726,0.26,555.03,betyr
343,3724,0.26,555.29,støtte
344,3716,0.25,555.54,ganger
345,3683,0.25,555.8,f
346,3660,0.25,556.05,klar
347,3646,0.25,556.3,personer
348,3630,0.25,556.55,mandag
349,3618,0.25,556.79,nr
350,3613,0.25,557.04,sagt
351,3599,0.25,557.29,problemer
352,3598,0.25,557.54,forbindelse
353,3588,0.25,557.78,bort
354,3543,0.24,558.02,kvinner
355,3540,0.24,558.27,fast
356,3534,0.24,558.51,fall
357,3532,0.24,558.75,full
358,3523,0.24,558.99,offentlig
359,3519,0.24,559.23,data
360,3507,0.24,559.47,holde
361,3495,0.24,559.71,kr
362,3492,0.24,559.95,legger
363,3492,0.24,560.19,vei
364,3489,0.24,560.43,25
365,3489,0.24,560.67,95
366,3488,0.24,560.91,spesielt
367,3481,0.24,561.15,18
368,3481,0.24,561.39,burde
369,3461,0.24,561.62,kort
370,3453,0.24,561.86,holdt
371,3445,0.24,562.1,microsoft
372,3439,0.24,562.33,14
373,3439,0.24,562.57,antall
374,3439,0.24,562.8,dagbladet
375,3432,0.24,563.04,nærmere
376,3416,0.23,563.27,hjelp
377,3409,0.23,563.51,årene
378,3393,0.23,563.74,enda
379,3388,0.23,563.97,tirsdag
380,3388,0.23,564.2,ute
381,3379,0.23,564.43,1993
382,3379,0.23,564.67,politisk
